2013/1/17,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on right knee and right hip
2013/1/21,Cavaliers,,Anderson Varejao,blood clot in right lung (out for season)
2013/1/23,Lakers,,Jordan Hill,"surgery on left hip to remove loose fragments, repair a torn labrum, and microfracture to repair damaged cartilage (out indefinitely)"
2013/1/28,Nets,,Tornike Shengelia,concussion (out indefinitely)
2013/1/30,Magic,,Glen Davis,fractured left foot (out indefinitely)
2013/2/5,76ers,,Thaddeus Young,strained left hamstring (out indefinitely)
2013/2/6,Lakers,,Pau Gasol,torn plantar fascia in right foot (out indefinitely)
2013/2/7,Hawks,,Louis Williams / Lou Williams,surgery on right knee to repair torn ACL (out for season)
2013/2/8,76ers,,Jason Richardson,surgery on left knee (out for season) (date approximate)
2013/2/12,Celtics,,Leandro Barbosa,torn ACL in left knee (out for season)
2013/2/13,Celtics,,Rajon Rondo,surgery on left knee to repair torn ACL (out for season)
2013/2/24,Cavaliers,,Omri Casspi,appendectomy (out indefinitely)
2013/3/2,Spurs,,(William) Tony Parker,sprained left ankle (out indefinitely)
2013/3/7,Bobcats,,Ramon Sessions,sprained MCL in left knee (out for season)
2013/3/7,Hornets,,Austin Rivers,fractured hand (out indefinitely)
2013/3/7,Suns,,Marcin Gortat,sprained right foot (out indefinitely)
2013/3/11,Cavaliers,,Kyrie Irving,sprained left shoulder (out indefinitely)
2013/3/14,Lakers,,Kobe Bryant,sprained left ankle (out indefinitely)
2013/3/17,Mavericks,,Rodrigue Beaubois,fractured left hand (out indefinitely)
2013/3/18,76ers,,Andrew Bynum,arthroscopic surgery on both knees (date approximate)
2013/3/21,Bobcats,,Brendan Haywood,stress fracture in left foot (out for season)
2013/3/23,Magic,,Arron Afflalo,strained right hamstring (out for season)
2013/3/27,Jazz,,Enes Kanter,dislocated left shoulder (out indefinitely)
2013/3/27,Lakers,,Metta World Peace / Ron Artest,torn meniscus in left knee (out indefinitely)
2013/3/28,Lakers,,Metta World Peace / Ron Artest,surgery on left knee to repair torn meniscus (out indefinitely)
2013/4/3,Hawks,,Zaur Pachulia / Zaza Pachulia,surgery on right Achilles tendon (out for season)
2013/4/4,Pacers,,Danny Granger,surgery on left knee (out for season)
2013/4/5,Nuggets,,Danilo Gallinari,torn ACL in left knee (out for season)
2013/4/10,Jazz,,Enes Kanter,surgery to repair dislocated left shoulder (out indefinitely)
2013/4/10,Timberwolves,,Kevin Love,surgery on left knee to remove scar tissue (out for season))
2013/4/11,Hornets,,Anthony Davis,sprained MCL and bone bruise in left knee (out indefinitely)
2013/4/12,Lakers,,Kobe Bryant,torn left Achilles tendon (out indefinitely)
2013/4/13,Lakers,,Kobe Bryant,surgery to repair torn left Achilles tendon (out indefinitely)
2013/4/21,Warriors,,David Lee,torn right hip flexor (out for season)
2013/4/26,Thunder,,Russell Westbrook,torn lateral meniscus in right knee (out indefinitely)
2013/4/27,Thunder,Russell Westbrook,,surgery on right knee to repair torn lateral meniscus (out for season)
2013/4/30,Nuggets,,Danilo Gallinari,surgery on left knee to repair meniscus damage (out for season)
2013/5/6,Celtics,,Jason Terry,arthroscopic surgery on left knee (date approximate)
2013/5/10,Lakers,,Pau Gasol,ultrasonic treatment on both knees to remove scar tissue (out indefinitely)
2013/5/10,Pelicans,,Eric Gordon,arthroscopic surgery on left ankle to remove scar tissue (out indefinitely)
2013/5/30,Blazers,,Wesley Matthews / Wes Matthews Jr.,arthroscopic surgery on left elbow to remove debris (out indefinitely)
2013/5/30,Rockets,,Carlos Delfino,surgery on right foot to repair fracture (out indefinitely)
2013/5/30,Warriors,,David Lee,surgery on right hip to repair torn hip flexor (out for season)
2013/5/31,Jazz,,Marvin Williams,surgery on right heel and Achilles tendon (out indefinitely) (date approximate)
2013/6/3,Nuggets,,Danilo Gallinari,surgery on left knee to repair torn ACL (out indefinitely) (date approximate)
2013/6/13,Warriors,,Festus Ezeli,surgery on right knee to repair sprained MCL (out indefinitely)
2013/6/25,Nets,,Brook Lopez,surgery on right foot to replace screw (out indefinitely)
